model,seed,original_label,final_category,n,tp,fn,fp,tn,recall,fpr
Kc-A,404,normal,4,1,0,0,0,1,,0.0
Kc-A,404,normal,2,31,0,0,1,30,,0.03225806451612903
Kc-A,404,normal,3,11,0,0,2,9,,0.18181818181818182
Kc-A,404,normal,1,1,0,0,0,1,,0.0
Kc-A,404,smishing,4,1,1,0,0,0,1.0,
Kc-A,404,smishing,2,2,0,2,0,0,0.0,
Kc-A,404,smishing,3,1,1,0,0,0,1.0,
Kc-A,404,smishing,1,54,50,4,0,0,0.9259259259259259,
Kc-C,42,normal,4,2,0,0,1,1,,0.5
Kc-C,42,normal,2,28,0,0,0,28,,0.0
Kc-C,42,normal,3,11,0,0,0,11,,0.0
Kc-C,42,normal,1,0,0,0,0,0,,
Kc-C,42,smishing,4,0,0,0,0,0,,
Kc-C,42,smishing,2,3,3,0,0,0,1.0,
Kc-C,42,smishing,3,2,2,0,0,0,1.0,
Kc-C,42,smishing,1,62,62,0,0,0,1.0,
Kc-C,101,normal,4,1,0,0,1,0,,1.0
Kc-C,101,normal,2,30,0,0,0,30,,0.0
Kc-C,101,normal,3,8,0,0,0,8,,0.0
Kc-C,101,normal,1,2,0,0,2,0,,1.0
Kc-C,101,smishing,4,2,1,1,0,0,0.5,
Kc-C,101,smishing,2,1,1,0,0,0,1.0,
Kc-C,101,smishing,3,0,0,0,0,0,,
Kc-C,101,smishing,1,44,44,0,0,0,1.0,
Kc-C,202,normal,4,2,0,0,0,2,,0.0
Kc-C,202,normal,2,33,0,0,0,33,,0.0
Kc-C,202,normal,3,14,0,0,0,14,,0.0
Kc-C,202,normal,1,1,0,0,0,1,,0.0
Kc-C,202,smishing,4,3,2,1,0,0,0.6666666666666666,
Kc-C,202,smishing,2,1,0,1,0,0,0.0,
Kc-C,202,smishing,3,0,0,0,0,0,,
Kc-C,202,smishing,1,23,23,0,0,0,1.0,
Kc-C,303,normal,4,0,0,0,0,0,,
Kc-C,303,normal,2,28,0,0,0,28,,0.0
