model,seed,original_label,final_category,n,tp,fn,fp,tn,recall,fpr
LR-B,101,normal,3,8,0,0,0,8,,0
LR-B,101,normal,4,1,0,0,0,1,,0
LR-B,101,smishing,1,44,33,11,0,0,0.75,
LR-B,101,smishing,2,1,1,0,0,0,1,
LR-B,101,smishing,3,0,0,0,0,0,,
LR-B,101,smishing,4,2,0,2,0,0,0,
LR-B,202,normal,1,1,0,0,0,1,,0
LR-B,202,normal,2,33,0,0,0,33,,0
LR-B,202,normal,3,14,0,0,0,14,,0
LR-B,202,normal,4,2,0,0,0,2,,0
LR-B,202,smishing,1,23,15,8,0,0,0.65217391304347,
LR-B,202,smishing,2,1,0,1,0,0,0,
LR-B,202,smishing,3,0,0,0,0,0,,
LR-B,202,smishing,4,3,0,3,0,0,0,
LR-B,303,normal,1,1,0,0,0,1,,0
LR-B,303,normal,2,28,0,0,0,28,,0
LR-B,303,normal,3,3,0,0,0,3,,0
LR-B,303,normal,4,0,0,0,0,0,,
LR-B,303,smishing,1,37,21,16,0,0,0.56756756756756,
LR-B,303,smishing,2,0,0,0,0,0,,
LR-B,303,smishing,3,0,0,0,0,0,,
LR-B,303,smishing,4,2,0,2,0,0,0,
LR-B,404,normal,1,1,0,0,1,0,,1
LR-B,404,normal,2,31,0,0,0,31,,0
LR-B,404,normal,3,11,0,0,0,11,,0
LR-B,404,normal,4,1,0,0,0,1,,0
LR-B,404,smishing,1,54,40,14,0,0,0.74074074074074,
LR-B,404,smishing,2,2,1,1,0,0,0.5,
LR-B,404,smishing,3,1,0,1,0,0,0,
LR-B,404,smishing,4,1,0,1,0,0,0,
LR-C,42,normal,1,0,0,0,0,0,,
LR-C,42,normal,2,28,0,0,0,28,,0
LR-C,42,normal,3,11,0,0,0,11,,0
LR-C,42,normal,4,2,0,0,0,2,,0
LR-C,42,smishing,1,62,51,11,0,0,0.82258064516129,
LR-C,42,smishing,2,3,2,1,0,0,0.66666666666666,
LR-C,42,smishing,3,2,0,2,0,0,0,
LR-C,42,smishing,4,0,0,0,0,0,,
LR-C,101,normal,1,2,0,0,2,0,,1
LR-C,101,normal,2,30,0,0,0,30,,0
LR-C,101,normal,3,8,0,0,0,8,,0
LR-C,101,normal,4,1,0,0,0,1,,0
LR-C,101,smishing,1,44,40,4,0,0,0.9090909090909,
LR-C,101,smishing,2,1,1,0,0,0,1,
LR-C,101,smishing,3,0,0,0,0,0,,
LR-C,101,smishing,4,2,0,2,0,0,0,
LR-C,202,normal,1,1,0,0,0,1,,0
LR-C,202,normal,2,33,0,0,0,33,,0
LR-C,202,normal,3,14,0,0,0,14,,0
LR-C,202,normal,4,2,0,0,1,1,,0.5
LR-C,202,smishing,1,23,19,4,0,0,0.82608695652173,
LR-C,202,smishing,2,1,0,1,0,0,0,
LR-C,202,smishing,3,0,0,0,0,0,,
LR-C,202,smishing,4,3,1,2,0,0,0.33333333333333,
LR-C,303,normal,1,1,0,0,1,0,,1
LR-C,303,normal,2,28,0,0,0,28,,0
LR-C,303,normal,3,3,0,0,0,3,,0
LR-C,303,normal,4,0,0,0,0,0,,
LR-C,303,smishing,1,37,30,7,0,0,0.81081081081081,
LR-C,303,smishing,2,0,0,0,0,0,,
LR-C,303,smishing,3,0,0,0,0,0,,
LR-C,303,smishing,4,2,0,2,0,0,0,
LR-C,404,normal,1,1,0,0,1,0,,1
LR-C,404,normal,2,31,0,0,0,31,,0
LR-C,404,normal,3,11,0,0,0,11,,0
LR-C,404,normal,4,1,0,0,0,1,,0
LR-C,404,smishing,1,54,46,8,0,0,0.85185185185185,
LR-C,404,smishing,2,2,1,1,0,0,0.5,
LR-C,404,smishing,3,1,0,1,0,0,0,
LR-C,404,smishing,4,1,0,1,0,0,0,
Stacking,42,normal,1,0,0,0,0,0,,
Stacking,42,normal,2,28,0,0,0,28,,0
Stacking,42,normal,3,11,0,0,0,11,,0
Stacking,42,normal,4,2,0,0,1,1,,0.5
Stacking,42,smishing,1,62,60,2,0,0,0.96774193548387,
Stacking,42,smishing,2,3,2,1,0,0,0.66666666666666,
Stacking,42,smishing,3,2,2,0,0,0,1,
Stacking,42,smishing,4,0,0,0,0,0,,
Stacking,101,normal,1,2,0,0,2,0,,1
Stacking,101,normal,2,30,0,0,0,30,,0
Stacking,101,normal,3,8,0,0,0,8,,0
Stacking,101,normal,4,1,0,0,1,0,,1
Stacking,101,smishing,1,44,41,3,0,0,0.93181818181818,
Stacking,101,smishing,2,1,1,0,0,0,1,
Stacking,101,smishing,3,0,0,0,0,0,,
Stacking,101,smishing,4,2,0,2,0,0,0,
Stacking,202,normal,1,1,0,0,0,1,,0
Stacking,202,normal,2,33,0,0,0,33,,0
Stacking,202,normal,3,14,0,0,0,14,,0
Stacking,202,normal,4,2,0,0,0,2,,0
Stacking,202,smishing,1,23,20,3,0,0,0.8695652173913,
Stacking,202,smishing,2,1,0,1,0,0,0,
Stacking,202,smishing,3,0,0,0,0,0,,
Stacking,202,smishing,4,3,1,2,0,0,0.33333333333333,
Stacking,303,normal,1,1,0,0,0,1,,0
Stacking,303,normal,2,28,0,0,0,28,,0
Stacking,303,normal,3,3,0,0,0,3,,0
Stacking,303,normal,4,0,0,0,0,0,,
Stacking,303,smishing,1,37,32,5,0,0,0.86486486486486,
Stacking,303,smishing,2,0,0,0,0,0,,
Stacking,303,smishing,3,0,0,0,0,0,,
Stacking,303,smishing,4,2,0,2,0,0,0,
Stacking,404,normal,1,1,0,0,0,1,,0
Stacking,404,normal,2,31,0,0,1,30,,0.03225806451612
Stacking,404,normal,3,11,0,0,2,9,,0.18181818181818
Stacking,404,normal,4,1,0,0,0,1,,0
Stacking,404,smishing,1,54,49,5,0,0,0.9074074074074,
Stacking,404,smishing,2,2,0,2,0,0,0,
Stacking,404,smishing,3,1,1,0,0,0,1,
Stacking,404,smishing,4,1,1,0,0,0,1,
