message_id,url_id,url_host_defanged,url_length,hostname_length,path_length,path_depth,digit_ratio,special_ratio,subdomain_count,has_ip_literal,has_port,has_punycode,has_at_symbol,is_malformed,suspicious_token_count,hostname_entropy
msg-810241ccc026df966e44,url-cf9655ecbd743db10e93,hxxp://ipns[.]kr,16,7,9,2,0.0625,0.1875,0,0,0,0,0,0,0,2.8073549220576037
msg-a7b5be1131f65aadef67,url-6f4ccd79acbf04fede5b,hxxp://ipns[.]kr,16,7,9,2,0.0,0.1875,0,0,0,0,0,0,0,2.8073549220576037
msg-e0fcff9bbf342baed3da,url-66f3fa4510d6b3807b94,hxxp://ipns[.]kr,16,7,9,2,0.125,0.1875,0,0,0,0,0,0,0,2.8073549220576037
msg-f0b3b3eddb656dc54967,url-2c8add5c64dbf1dc2b10,hxxps://forms[.]gle,27,9,18,1,0.2222222222222222,0.07407407407407407,0,0,0,0,0,0,0,3.169925001442312
msg-ea36a24e63d21927bffa,url-56c719df2a68a5008170,hxxp://ipns[.]kr,16,7,9,2,0.125,0.1875,0,0,0,0,0,0,0,2.8073549220576037
msg-57283bf94b320a85245a,url-c74ff608b1950f1efd57,hxxps://forms[.]gle,27,9,18,1,0.1111111111111111,0.07407407407407407,0,0,0,0,0,0,0,3.169925001442312
msg-94e1378065f7a7b8e74e,url-52bc47d929060c71ec77,hxxps://buly[.]kr,15,7,8,1,0.06666666666666667,0.13333333333333333,0,0,0,0,0,0,0,2.8073549220576037
msg-8d5486702f768c167122,url-cfe3e378f429c3097dc9,hxxps://naver[.]me,17,8,9,1,0.11764705882352941,0.11764705882352941,0,0,0,0,0,0,0,2.75
msg-defa37c8b743e737085b,url-5f27ff6a0f28c8e84def,hxxps://sugang[.]inha[.]ac[.]kr,25,17,8,1,0.0,0.2,2,0,0,0,0,0,0,3.29277019393699
msg-d8a604b728c5e43632eb,url-a5b5c45599d11c976290,hxxps://applink[.]a-bly[.]com,21,17,4,1,0.0,0.19047619047619047,1,0,0,0,0,0,0,3.616874605956222
msg-324c533019b5376b1d24,url-86cd973535c1a1d3153f,hxxp://ipns[.]kr,16,7,9,2,0.0,0.1875,0,0,0,0,0,0,0,2.8073549220576037
msg-fc5af8f4d8aa74cb86c8,url-91bfd8affa847f2259ff,hxxp://vo[.]la,12,5,7,1,0.0,0.16666666666666666,0,0,0,0,0,0,0,2.321928094887362
msg-16000e70eaa054612ae7,url-57a0c27bc5dd003eb583,hxxp://vo[.]la,12,5,7,1,0.0,0.16666666666666666,0,0,0,0,0,0,0,2.321928094887362
msg-162e458347cc4239dbc4,url-0bb7246bbcaf1a2eb4b9,hxxps://sugang[.]inha[.]ac[.]kr,25,17,8,1,0.0,0.2,2,0,0,0,0,0,0,3.29277019393699
msg-244792d8e76e70275460,url-ab3917065159b6e6ac3d,hxxps://applink[.]a-bly[.]com,21,17,4,1,0.0,0.19047619047619047,1,0,0,0,0,0,0,3.616874605956222
msg-0aeff7474ed6af02a747,url-16f79568e1ecf3dc5936,hxxps://lrl[.]kr,11,6,5,1,0.0,0.18181818181818182,0,0,0,0,0,0,0,1.9182958340544896
msg-61cfe93b1b6849267f81,url-d23cb4aea37a0d346355,hxxps://lrl[.]kr,11,6,5,1,0.0,0.18181818181818182,0,0,0,0,0,0,0,1.9182958340544896
msg-55268bdb3593e36e6bfe,url-7d29431e23b878998b71,hxxps://forms[.]gle,27,9,18,1,0.1111111111111111,0.07407407407407407,0,0,0,0,0,0,0,3.169925001442312
msg-ebf3216449aa0c9c1dcd,url-4c8a88705e46b403380c,hxxp://vo[.]la,12,5,7,1,0.0,0.16666666666666666,0,0,0,0,0,0,0,2.321928094887362
msg-7fdf5a5a4b1d0cedd5db,url-9f1f4d66ed7a4832a426,hxxps://forms[.]gle,27,9,18,1,0.1111111111111111,0.07407407407407407,0,0,0,0,0,0,0,3.169925001442312
msg-413e4c84222a7d5430db,url-dbb240988590a56ed2ce,hxxp://swuniv[.]inha[.]ac[.]kr,17,17,0,0,0.0,0.17647058823529413,2,0,0,0,0,0,0,3.4548223999466057
msg-4346e72f78ae3d5ba235,url-b127930acbd22f8e5ea6,hxxps://forms[.]gle,27,9,18,1,0.14814814814814814,0.07407407407407407,0,0,0,0,0,0,0,3.169925001442312
msg-578d7967b9a79874d1bb,url-be7db517a167ff13ccac,hxxps://forms[.]gle,27,9,18,1,0.1111111111111111,0.07407407407407407,0,0,0,0,0,0,0,3.169925001442312
msg-8967144388f95b42f92c,url-3849065ca18034dc8eaf,hxxps://forms[.]gle,27,9,18,1,0.07407407407407407,0.07407407407407407,0,0,0,0,0,0,0,3.169925001442312
msg-0ff297fa4e3b7b6f1651,url-f8634e24763473231eae,hxxps://applink[.]a-bly[.]com,20,17,3,1,0.0,0.2,1,0,0,0,0,0,0,3.616874605956222
msg-ae997a122033f3cccb2c,url-afc411cc7c213b313733,hxxps://url[.]kr,13,6,7,1,0.15384615384615385,0.15384615384615385,0,0,0,0,0,0,0,2.2516291673878226
msg-ea01620570153abeee45,url-c888fc513128d4e43ed0,hxxp://ipns[.]kr,16,7,9,2,0.125,0.1875,0,0,0,0,0,0,0,2.8073549220576037
msg-e52383be8a543c0fb898,url-953b444704e35d9cbc82,hxxp://ipns[.]kr,16,7,9,2,0.0625,0.1875,0,0,0,0,0,0,0,2.8073549220576037
msg-d3430bd37b963ae322c7,url-2ba80840233b35d8b8d4,hxxp://ipns[.]kr,16,7,9,2,0.0625,0.1875,0,0,0,0,0,0,0,2.8073549220576037
msg-66d3d6771b9503831c3e,url-fc19e5f502c418bbe406,hxxp://eland[.]kr,15,8,7,1,0.13333333333333333,0.13333333333333333,0,0,0,0,0,0,0,3.0
msg-791ffeedadf652ba5fde,url-c75cdf543724b4d296c5,hxxp://eland[.]kr,16,8,8,1,0.0625,0.125,0,0,0,0,0,0,0,3.0
msg-898c54a45649bd9e1dba,url-bc54c5f9c3234a932617,hxxps://buly[.]kr,14,7,7,1,0.07142857142857142,0.14285714285714285,0,0,0,0,0,0,0,2.8073549220576037
